corine_code	corine_label	env_local_scale	env_local_scale_provenance	ols_verified	notes
111	Continuous urban fabric	populated place [ENVO:00000062]	from_corine	yes	
112	Discontinuous urban fabric	populated place [ENVO:00000062]	from_corine	yes	
121	Industrial or commercial units			no anchor-valid ELS	
122	Road and rail networks and associated land			no anchor-valid ELS	
123	Port areas			no anchor-valid ELS	
124	Airports			no anchor-valid ELS	
131	Mineral extraction sites			no anchor-valid ELS	
132	Dump sites			no anchor-valid ELS	
133	Construction sites			no anchor-valid ELS	
141	Green urban areas	populated place [ENVO:00000062]	from_corine	yes	more specific green-urban term not found in ELS anchor
142	Sport and leisure facilities			no anchor-valid ELS	
211	Non-irrigated arable land	agricultural field [ENVO:00000114]	from_corine	yes	used in crosswalk
212	Permanently irrigated land	agricultural field [ENVO:00000114]	from_corine	yes	may warrant more specific irrigated-field term
213	Rice fields	rice field [ENVO:00000296]	from_corine	yes	
221	Vineyards	vineyard [ENVO:00000116]	from_corine	yes	
222	Fruit trees and berry plantations	orchard [ENVO:00000115]	from_corine	yes	
223	Olive groves	agricultural field [ENVO:00000114]	from_corine	yes	olive-grove-specific term may not exist in ENVO ELS
231	Pastures	pasture [ENVO:00000266]	from_corine	yes	more specific than grassland area; managed pasture
241	Annual crops associated with permanent crops	agricultural field [ENVO:00000114]	from_corine	yes	
242	Complex cultivation patterns	agricultural field [ENVO:00000114]	from_corine	yes	used in crosswalk
243	Land principally occupied by agriculture with significant areas of natural vegetation	agricultural field [ENVO:00000114]	from_corine	yes	used in crosswalk; coarser than ideal
244	Agro-forestry areas	forested area [ENVO:00000111]	from_corine	yes	agroforestry-specific term not found in ELS anchor
311	Broad-leaved forest	area of deciduous forest [ENVO:01000816]	from_corine	yes	corrected from an earlier wrong CURIE; used in crosswalk
312	Coniferous forest	temperate evergreen needleleaf forest [ENVO:01000383]	from_corine	yes	used in crosswalk row 81
313	Mixed forest	mixed forest [ENVO:01000431]	from_corine	yes	corrected from an earlier wrong CURIE; used in crosswalk
321	Natural grasslands	grassland area [ENVO:00000106]	from_corine	yes	used in crosswalk
322	Moors and heathland	heath [ENVO:00000107]	from_corine	yes	used in crosswalk
323	Sclerophyllous vegetation	chaparral area [ENVO:00000301]	from_corine	yes	Mediterranean shrubland; chaparral area is closest anchor-valid ELS
324	Transitional woodland-shrub	scrubland area [ENVO:00000300]	from_corine	yes	shrubland-specific term may be more appropriate
331	Beaches, dunes, sands	coastal dune [ENVO:00000416]	from_corine	yes	used in crosswalk; covers coastal dunes and sands
332	Bare rocks	cliff [ENVO:00000087]	from_corine	yes	bare rock faces; cliff is closest anchor-valid ELS
333	Sparsely vegetated areas		from_corine	no anchor-valid ELS	no anchor-valid ELS found via runoak
334	Burnt areas		from_corine	no anchor-valid ELS	no anchor-valid ELS found via runoak; post-fire habitat
335	Glaciers and perpetual snow		from_corine	no anchor-valid ELS	glacier has no anchor-valid ELS term
411	Inland marshes	freshwater marsh [ENVO:00000053]	from_corine	yes	
412	Peat bogs	peatland [ENVO:00000044]	from_corine	yes	in ELS allow-list per README
421	Salt marshes	saline marsh [ENVO:00000054]	from_corine	yes	used in crosswalk
422	Salines	saline pan [ENVO:00000279]	from_corine	yes	salt pan / salina
423	Intertidal flats	intertidal zone [ENVO:00000316]	from_corine	yes	used in crosswalk
511	Water courses	river [ENVO:00000022]	from_corine	yes	stream vs river distinction may matter
512	Water bodies	water body [ENVO:00000063]	from_corine	yes	
521	Coastal lagoons		from_corine	no anchor-valid ELS	coastal lagoon has no anchor-valid ENVO term (lagoon sits under aquatic layer, not an ELS anchor)
522	Estuaries	estuary [ENVO:00000045]	from_corine	yes	
523	Sea and ocean			env_medium territory; no ELS	
