# NMDC submission-schema env-triad value sets, vendored for the term validator
# (nmdc_ingest_agent.validators.valuesets). Do not hand-edit: regenerate with
#   uv run --with nmdc-submission-schema python -m nmdc_ingest_agent.validators.generate_valuesets
# nmdc_submission_schema_version: 11.24.0
# generated: 2026-09-21
interface	slot	enum	curie	label	text
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000519	agricultural terrace	agricultural terrace [ENVO:00000519]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000258	alluvial plain	alluvial plain [ENVO:00000258]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000752	area of barren land	area of barren land [ENVO:01000752]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000892	area of cropland	area of cropland [ENVO:01000892]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000816	area of deciduous forest	area of deciduous forest [ENVO:01000816]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000883	area of developed open space	area of developed open space [ENVO:01000883]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000886	area of developed space with high usage intensity	area of developed space with high usage intensity [ENVO:01000886]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000884	area of developed space with low usage intensity	area of developed space with low usage intensity [ENVO:01000884]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000885	area of developed space with medium usage intensity	area of developed space with medium usage intensity [ENVO:01000885]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000861	area of dwarf scrub	area of dwarf scrub [ENVO:01000861]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000894	area of emergent herbaceous wetland	area of emergent herbaceous wetland [ENVO:01000894]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000843	area of evergreen forest	area of evergreen forest [ENVO:01000843]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000888	area of gramanoid or herbaceous vegetation	area of gramanoid or herbaceous vegetation [ENVO:01000888]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000889	area of lichen-dominated vegetation	area of lichen-dominated vegetation [ENVO:01000889]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000855	area of mixed forest	area of mixed forest [ENVO:01000855]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000890	area of moss-dominated vegetation	area of moss-dominated vegetation [ENVO:01000890]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000666	area of open water	area of open water [ENVO:01000666]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000746	area of perennial ice or snow	area of perennial ice or snow [ENVO:01000746]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000745	area of perennial snow	area of perennial snow [ENVO:01000745]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000740	area of perennial water ice	area of perennial water ice [ENVO:01000740]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000869	area of scrub	area of scrub [ENVO:01000869]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000887	area of sedge- and forb-dominated herbaceous vegetation	area of sedge- and forb-dominated herbaceous vegetation [ENVO:01000887]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000893	area of woody wetland	area of woody wetland [ENVO:01000893]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000091	beach	beach [ENVO:00000091]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00010624	botanical garden	botanical garden [ENVO:00010624]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000087	cliff	cliff [ENVO:00000087]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000687	coast	coast [ENVO:01000687]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001241	crop canopy	crop canopy [ENVO:01001241]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001357	desert	desert [ENVO:01001357]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000170	dune	dune [ENVO:00000170]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000078	farm	farm [ENVO:00000078]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001582	forest floor	forest floor [ENVO:01001582]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000011	garden	garden [ENVO:00000011]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:03600087	greenhouse	greenhouse [ENVO:03600087]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000463	harbour	harbour [ENVO:00000463]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000337	herb and fern layer	herb and fern layer [ENVO:01000337]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000083	hill	hill [ENVO:00000083]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000417	house	house [ENVO:01000417]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000098	island	island [ENVO:00000098]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001406	laboratory facility	laboratory facility [ENVO:01001406]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000338	litter layer	litter layer [ENVO:01000338]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000987	market	market [ENVO:01000987]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000081	mountain	mountain [ENVO:00000081]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001304	oasis	oasis [ENVO:01001304]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000015	ocean	ocean [ENVO:00000015]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000302	outcrop	outcrop [ENVO:01000302]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000117	plantation	plantation [ENVO:00000117]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000182	plateau	plateau [ENVO:00000182]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000033	pond	pond [ENVO:00000033]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000260	prairie	prairie [ENVO:00000260]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:03500002	public park	public park [ENVO:03500002]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000469	research facility	research facility [ENVO:00000469]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000143	river bank	river bank [ENVO:00000143]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000171	river valley	river valley [ENVO:00000171]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000064	road	road [ENVO:00000064]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000059	sea grass bed	sea grass bed [ENVO:01000059]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000304	shore	shore [ENVO:00000304]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000336	shrub layer	shrub layer [ENVO:01000336]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000501	submerged bed	submerged bed [ENVO:00000501]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01000335	understory	understory [ENVO:01000335]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:00000100	valley	valley [ENVO:00000100]
PlantAssociatedInterface	env_local_scale	EnvLocalScalePlantAssociatedEnum	ENVO:01001240	woodland canopy	woodland canopy [ENVO:01001240]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0004518	bark	bark [PO:0004518]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025356	bulb	bulb [PO:0025356]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025355	corm	corm [PO:0025355]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025623	ear infructescence axis	ear infructescence axis [PO:0025623]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0020103	flag leaf	flag leaf [PO:0020103]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0009046	flower	flower [PO:0009046]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0009001	fruit	fruit [PO:0009001]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025034	leaf	leaf [PO:0025034]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0020038	petiole	petiole [PO:0020038]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0006001	phyllome	phyllome [PO:0006001]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0006109	pith	pith [PO:0006109]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0005052	plant callus	plant callus [PO:0005052]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025626	plant gall	plant gall [PO:0025626]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	ENVO:01000628	plant litter	plant litter [ENVO:01000628]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025281	pollen	pollen [PO:0025281]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0020031	radicle	radicle [PO:0020031]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0030078	rhizoid	rhizoid [PO:0030078]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0004542	rhizome	rhizome [PO:0004542]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	ENVO:00005801	rhizosphere	rhizosphere [ENVO:00005801]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0009005	root	root [PO:0009005]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0003023	root nodule	root nodule [PO:0003023]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0004513	sapwood	sapwood [PO:0004513]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0005848	secondary xylem	secondary xylem [PO:0005848]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0009010	seed	seed [PO:0009010]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0008037	seedling	seedling [PO:0008037]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0009047	stem	stem [PO:0009047]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025522	tuber	tuber [PO:0025522]
PlantAssociatedInterface	env_medium	EnvMediumPlantAssociatedEnum	PO:0025417	xylem vessel	xylem vessel [PO:0025417]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000020	estuarine biome	estuarine biome [ENVO:01000020]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:00000873	freshwater biome	freshwater biome [ENVO:00000873]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000252	freshwater lake biome	freshwater lake biome [ENVO:01000252]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000253	freshwater river biome	freshwater river biome [ENVO:01000253]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:00000889	large river delta biome	large river delta biome [ENVO:00000889]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000181	mangrove biome	mangrove biome [ENVO:01000181]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000046	marginal sea biome	marginal sea biome [ENVO:01000046]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000024	marine benthic biome	marine benthic biome [ENVO:01000024]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:00000447	marine biome	marine biome [ENVO:00000447]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000127	marine cold seep biome	marine cold seep biome [ENVO:01000127]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000049	marine coral reef biome	marine coral reef biome [ENVO:01000049]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000025	marine neritic benthic zone biome	marine neritic benthic zone biome [ENVO:01000025]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000022	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:01000050	marine subtidal rocky reef biome	marine subtidal rocky reef biome [ENVO:01000050]
SedimentInterface	env_broad_scale	EnvBroadScaleSedimentEnum	ENVO:00000893	xeric basin biome	xeric basin biome [ENVO:00000893]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000220	archipelago	archipelago [ENVO:00000220]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000141	bank	bank [ENVO:00000141]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000167	bar	bar [ENVO:00000167]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000032	bay	bay [ENVO:00000032]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000091	beach	beach [ENVO:00000091]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00002137	brackish estuary	brackish estuary [ENVO:00002137]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000540	brackish lake	brackish lake [ENVO:00000540]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000067	cave	cave [ENVO:00000067]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:01000687	coast	coast [ENVO:01000687]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:02000049	coastal water body	coastal water body [ENVO:02000049]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:01000263	cold seep	cold seep [ENVO:01000263]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:01000298	continental margin	continental margin [ENVO:01000298]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:00000223	continental shelf	continental shelf [ENVO:00000223]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:03000039	cryoconite hole	cryoconite hole [ENVO:03000039]
SedimentInterface	env_local_scale	EnvLocalScaleSedimentEnum	ENVO:01000548	eutrophic lake	eutrophic lake [ENVO:01000548]
