sample_type	area_type	hab1	hab2	hab3	hab_depth	env_broad_curie	env_broad_label	env_local_curie	env_local_label	env_medium_curie	env_medium_label	curation_status	notes
Other	Urban	Drinking water			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00003064	drinking water	refined	Drinking-water infrastructure; no anchor-valid env_local feature term. Not present in L1.
Other	Urban	Drinking water	Waterworks stage		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00003064	drinking water	refined	Drinking-water infrastructure; no anchor-valid env_local feature term. Not present in L1.
Other	Urban	Drinking water	Waterworks stage	Sandfilter	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00003064	drinking water	refined	Drinking-water infrastructure; no anchor-valid env_local feature term. Not present in L1.
Other	Urban	Industrial			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00000000		refined	hab2 limestone quarry -> quarry, saltworks -> saline evaporation pond (runoak-validated). Not present in L1.
Other	Urban	Industrial	High chalk concentration (limestone quarry)		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000284	quarry	ENVO:00000000		refined	hab2 limestone quarry -> quarry, saltworks -> saline evaporation pond (runoak-validated). Not present in L1.
Other	Urban	Industrial	High salinity (saltworks)		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000055	saline evaporation pond	ENVO:00000000		refined	hab2 limestone quarry -> quarry, saltworks -> saline evaporation pond (runoak-validated). Not present in L1.
Other	Urban	Landfill			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000533	landfill	ENVO:00000000		refined	Urban landfill; sample_type 'Other' -> env_medium left sentinel. Not present in L1.
Other	Urban	Landfill	Enrichment		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000533	landfill	ENVO:00000000		refined	Urban landfill; sample_type 'Other' -> env_medium left sentinel. Not present in L1.
Other	Urban	Other			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000000		ENVO:00000000		refined	'Other' is intentionally non-specific. Not present in L1.
Other	Urban	Saltwater			1	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:00000000		refined	hab3 'Harbour, marina' -> harbour (runoak-validated). Not present in L1.
Other	Urban	Saltwater	Flowing saltwater		2	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:00000000		refined	hab3 'Harbour, marina' -> harbour (runoak-validated). Not present in L1.
Other	Urban	Saltwater	Flowing saltwater	Harbour, marina scraped-off biofilm	3	ENVO:01000219	anthropogenic terrestrial biome	ENVO:00000463	harbour	ENVO:00000000		refined	hab3 'Harbour, marina' -> harbour (runoak-validated). Not present in L1.
Sediment	Natural	Freshwater			1	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Running freshwater		2	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Running freshwater	Coastal rivers and streams	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Running freshwater	Rivers and streams	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Running freshwater	Rivers with muddy banks with Chenopodion rubri pp and Bidention pp vegetation	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
Sediment	Natural	Freshwater	Running freshwater	Water courses of plain to montane levels with the Ranunculion fluitantis and Callitricho-Batrachion vegetation	3	ENVO:00000873	freshwater biome	ENVO:00000020	lake	ENVO:00002007	sediment	carried_l1	Inherited hab1-level triple from L1 (Sediment Natural Freshwater).
